mean_fit_time,mean_score_time,mean_test_score,param_Vectorizer__max_df,param_Vectorizer__max_features,param_Vectorizer__min_df,param_Vectorizer__ngram_range,params,rank_test_score,split0_test_score,std_fit_time,std_score_time,std_test_score
113.32144212722778,12.691982746124268,0.8666666666666667,0.95,1000,0.1,"(1, 2)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 1000, 'Vectorizer__ngram_range': (1, 2)}",1,0.8666666666666667,0.0,0.0,0.0
131.60893726348877,13.445008754730225,0.8555555555555555,0.95,1000,0.1,"(1, 3)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 1000, 'Vectorizer__ngram_range': (1, 3)}",3,0.8555555555555555,0.0,0.0,0.0
151.8100290298462,14.750915765762329,0.8444444444444444,0.95,1000,0.1,"(1, 4)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 1000, 'Vectorizer__ngram_range': (1, 4)}",7,0.8444444444444444,0.0,0.0,0.0
126.89740896224976,12.683483123779297,0.8666666666666667,0.95,5000,0,"(1, 2)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0, 'Vectorizer__max_features': 5000, 'Vectorizer__ngram_range': (1, 2)}",1,0.8666666666666667,0.0,0.0,0.0
138.27598428726196,13.608945608139038,0.8222222222222222,0.95,5000,0,"(1, 3)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0, 'Vectorizer__max_features': 5000, 'Vectorizer__ngram_range': (1, 3)}",26,0.8222222222222222,0.0,0.0,0.0
162.64890313148499,14.762013673782349,0.8444444444444444,0.95,5000,0,"(1, 4)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0, 'Vectorizer__max_features': 5000, 'Vectorizer__ngram_range': (1, 4)}",7,0.8444444444444444,0.0,0.0,0.0
120.63890218734741,13.516972780227661,0.8333333333333334,0.95,5000,0.05,"(1, 2)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 5000, 'Vectorizer__ngram_range': (1, 2)}",16,0.8333333333333334,0.0,0.0,0.0
139.99145698547363,12.909471035003662,0.7888888888888889,0.95,5000,0.05,"(1, 3)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 5000, 'Vectorizer__ngram_range': (1, 3)}",47,0.7888888888888889,0.0,0.0,0.0
162.42601680755615,14.181933879852295,0.7777777777777778,0.95,5000,0.05,"(1, 4)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 5000, 'Vectorizer__ngram_range': (1, 4)}",50,0.7777777777777778,0.0,0.0,0.0
116.73146772384644,12.823482990264893,0.8111111111111111,0.95,5000,0.1,"(1, 2)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 5000, 'Vectorizer__ngram_range': (1, 2)}",32,0.8111111111111111,0.0,0.0,0.0
135.05383253097534,14.50901174545288,0.8444444444444444,0.95,5000,0.1,"(1, 3)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 5000, 'Vectorizer__ngram_range': (1, 3)}",7,0.8444444444444444,0.0,0.0,0.0
159.1149308681488,14.0460205078125,0.8333333333333334,0.95,5000,0.1,"(1, 4)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 5000, 'Vectorizer__ngram_range': (1, 4)}",16,0.8333333333333334,0.0,0.0,0.0
122.37985801696777,13.224959135055542,0.8111111111111111,0.95,10000,0,"(1, 2)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 2)}",32,0.8111111111111111,0.0,0.0,0.0
142.86898469924927,14.256951093673706,0.8111111111111111,0.95,10000,0,"(1, 3)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 3)}",32,0.8111111111111111,0.0,0.0,0.0
166.6109812259674,15.153958797454834,0.7444444444444445,0.95,10000,0,"(1, 4)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 4)}",54,0.7444444444444445,0.0,0.0,0.0
122.5619375705719,13.579986810684204,0.8333333333333334,0.95,10000,0.05,"(1, 2)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 2)}",16,0.8333333333333334,0.0,0.0,0.0
143.2706446647644,12.93080997467041,0.8333333333333334,0.95,10000,0.05,"(1, 3)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 3)}",16,0.8333333333333334,0.0,0.0,0.0
164.81193256378174,14.834118127822876,0.8000000000000002,0.95,10000,0.05,"(1, 4)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 4)}",43,0.8000000000000002,0.0,0.0,0.0
116.18273425102234,13.740962743759155,0.8111111111111111,0.95,10000,0.1,"(1, 2)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 2)}",32,0.8111111111111111,0.0,0.0,0.0
135.1159451007843,14.638802289962769,0.8444444444444444,0.95,10000,0.1,"(1, 3)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 3)}",7,0.8444444444444444,0.0,0.0,0.0
