doc,score,word,importance
11,0.11151903223648407,neither,0.11151903223648407
11,0.10921463014822143,speech,0.10921463014822143
11,0.10804616024906151,Petitioners,0.10804616024906151
11,-0.02503264397158676,much,0.02503264397158676
11,-0.020050868042465347,respondents,0.020050868042465347
12,-0.12983230977655646,remand,0.12983230977655646
12,-0.12673719016418022,remanded,0.12673719016418022
12,-0.101474121731322,Respondent,0.101474121731322
12,0.0413341614194341,Petitioners,0.0413341614194341
12,0.01943902400533044,Nor,0.01943902400533044
12,0.01914947778555809,Clean,0.01914947778555809
12,-0.017310211871958813,proceedings,0.017310211871958813
12,-0.017004019086152122,issue,0.017004019086152122
12,0.016986420105039802,limits,0.016986420105039802
12,-0.007304476206595629,them,0.007304476206595629
13,-0.024516971786402973,Respondents,0.024516971786402973
13,-0.017197588278109282,remanded,0.017197588278109282
13,-0.01712455378120222,remanding,0.01712455378120222
13,-0.016067748067127706,proceedings,0.016067748067127706
13,-0.015610278372707922,remand,0.015610278372707922
13,-0.012092142571243497,Tr,0.012092142571243497
13,0.008400732736583016,their,0.008400732736583016
13,0.00593924751075292,racially,0.00593924751075292
13,-0.002470238789396939,based,0.002470238789396939
13,-0.002257270587301802,977,0.002257270587301802
14,0.24606703704762115,limitations,0.24606703704762115
14,0.17887883762480802,costs,0.17887883762480802
14,0.16293657007291118,contribution,0.16293657007291118
14,-0.13289813969116346,respondent,0.13289813969116346
14,-0.13059181017564653,responding,0.13059181017564653
14,0.11131854321898496,among,0.11131854321898496
14,-0.020932726301503186,a,0.020932726301503186
14,-0.01901056940215895,consistent,0.01901056940215895
14,-0.015948176130207294,F,0.015948176130207294
14,-0.0056067818517342724,f,0.0056067818517342724
15,-0.2777827731669695,remand,0.2777827731669695
15,0.0836156663204185,3501,0.0836156663204185
15,0.07736571924560837,Post,0.07736571924560837
15,0.06220954067724086,neither,0.06220954067724086
15,-0.057907540045769666,Act,0.057907540045769666
15,0.05655230128254136,unless,0.05655230128254136
15,-0.04397174189644991,Tr,0.04397174189644991
15,-0.030373265646818606,F,0.030373265646818606
15,-0.028104337921544015,consistent,0.028104337921544015
15,-0.00667944683397067,counsel,0.00667944683397067
16,0.40528939907901906,Petitioner,0.40528939907901906
16,-0.283916090907175,Respondent,0.283916090907175
16,0.20294131461324644,Brief,0.20294131461324644
16,-0.08054700783861096,respondent,0.08054700783861096
16,0.07264952956487403,limitation,0.07264952956487403
16,0.06844171322614473,Neither,0.06844171322614473
16,0.0665231770521304,18,0.0665231770521304
16,0.06336083669431387,police,0.06336083669431387
16,-0.019155810090551038,consisted,0.019155810090551038
16,-0.018972927502906183,person,0.018972927502906183
17,0.35527611432304124,Petitioners,0.35527611432304124
17,-0.1748338428452784,Respondent,0.1748338428452784
17,0.14661475260846568,Brief,0.14661475260846568
17,0.09378281794603821,petitioners,0.09378281794603821
17,0.07257705909236506,considerations,0.07257705909236506
17,-0.03860822725692187,action,0.03860822725692187
17,-0.031579791227153486,Court,0.031579791227153486
17,-0.029100947441710937,consider,0.029100947441710937
17,-0.017219714370690392,remains,0.017219714370690392
17,-0.009573919208343872,appeals,0.009573919208343872
18,-0.4967928051299068,remanded,0.4967928051299068
18,-0.25477187831614834,Respondent,0.25477187831614834
18,0.11528488232075891,Petitioner,0.11528488232075891
18,0.06765551162307824,post,0.06765551162307824
18,0.06386117033881107,see,0.06386117033881107
18,0.052678354661976866,unless,0.052678354661976866
18,-0.03472698894390519,Brief,0.03472698894390519
18,0.00876394381117258,nonviolent,0.00876394381117258
18,-0.0026207550092017147,made,0.0026207550092017147
18,0.0007668872560927403,F,0.0007668872560927403
19,-0.4609743484538819,remanded,0.4609743484538819
19,0.1240729441992112,Petitioner,0.1240729441992112
19,-0.06703427531476423,Tr,0.06703427531476423
19,0.06325499902053844,petitioner,0.06325499902053844
19,-0.05917074286236728,proceedings,0.05917074286236728
19,0.04691543885356316,limiting,0.04691543885356316
19,0.040941234357359746,Brief,0.040941234357359746
19,-0.034872800776519844,consistent,0.034872800776519844
19,-0.020125199937744573,way,0.020125199937744573
19,-0.013703223789360904,treatment,0.013703223789360904
20,-0.012441272219366788,Respondent,0.012441272219366788
20,-0.00812129139895926,respondent,0.00812129139895926
20,0.004892721892802256,interpretation,0.004892721892802256
20,0.004699827352847087,failed,0.004699827352847087
20,-0.004517124237609972,remand,0.004517124237609972
20,-0.004074880044441387,remanded,0.004074880044441387
20,-0.002664150162747419,proceeding,0.002664150162747419
20,-0.0025887819282178204,Tr,0.0025887819282178204
20,-0.0018638787185050445,way,0.0018638787185050445
20,-0.0018477783582209408,Brief,0.0018477783582209408
21,0.11022157376085145,petitioners,0.11022157376085145
21,0.10433116391657254,Petitioners,0.10433116391657254
21,0.03996686516409003,3d,0.03996686516409003
21,0.0370681493327897,bankruptcy,0.0370681493327897
21,0.03074264472827637,merely,0.03074264472827637
21,0.029045031765468163,period,0.029045031765468163
21,0.028878431141710743,tax,0.028878431141710743
21,0.025529091413973786,unpaid,0.025529091413973786
21,0.0254220630811789,prohibit,0.0254220630811789
21,0.024269000194164145,added,0.024269000194164145
22,-0.2550862994555454,respondent,0.2550862994555454
22,-0.12395787151668972,Respondent,0.12395787151668972
22,0.11510052875129642,exceed,0.11510052875129642
22,0.08644232286718095,Circuit,0.08644232286718095
22,0.08077444815393786,added,0.08077444815393786
22,0.07655978358408833,petitioners,0.07655978358408833
22,-0.07095881810041191,Appeals,0.07095881810041191
22,-0.05969386642985131,Court,0.05969386642985131
